yy;cluster;sintesi;modello
2013-05-01;10;131.71729131539664;gpcc
2013-05-01;13;31.543703787856632;gpcc
2013-06-01;1;98.16031197458506;gpcc
2013-06-01;4;11.55617397453474;gpcc
2013-06-01;7;168.61399965286256;gpcc
2013-06-01;10;57.88270853956541;gpcc
2013-06-01;13;7.780370324850082;gpcc
2013-07-01;1;171.64562487602234;gpcc
2013-07-01;4;16.231478224354593;gpcc
2013-07-01;7;224.33824996948243;gpcc
2013-07-01;10;90.90624996026357;gpcc
2013-07-01;13;8.179259269325822;gpcc
2013-08-01;1;199.23124957084656;gpcc
2013-08-01;4;18.62660867176626;gpcc
2013-08-01;7;221.79849815368652;gpcc
2013-08-01;10;96.47145811716716;gpcc
2013-08-01;13;20.89703694096318;gpcc
2013-09-01;1;121.30406153202057;gpcc
2013-09-01;4;15.849739082999852;gpcc
2013-09-01;7;178.38549861907958;gpcc
2013-09-01;10;108.30208345254262;gpcc
2013-09-01;13;33.334815134052874;gpcc
2013-10-01;1;76.1950002014637;gpcc
2013-10-01;4;43.7591304478438;gpcc
2013-10-01;7;131.08974952697753;gpcc
2013-10-01;10;108.90166634693742;gpcc
2013-10-01;13;19.759259281335055;gpcc
2013-11-01;1;16.356406221631914;gpcc
2013-11-01;4;50.98017400697522;gpcc
2013-11-01;7;52.24199975728989;gpcc
2013-11-01;10;88.43104112148285;gpcc
2013-11-01;13;84.14777783994322;gpcc
2013-12-01;1;2.6979687766288407;gpcc
2013-12-01;4;7.0935652113479115;gpcc
2013-12-01;7;13.086999889835715;gpcc
2013-12-01;10;52.07979133104285;gpcc
2013-12-01;13;103.35777943222611;gpcc
2014-01-01;1;2.7510937370243482;gpcc
2014-01-01;4;2.573913047073976;gpcc
2014-01-01;7;9.622750006616116;gpcc
2014-01-01;10;17.921041664977867;gpcc
2014-01-01;13;20.759629827958566;gpcc
2014-02-01;1;6.704374975408427;gpcc
2014-02-01;4;3.8939999922300164;gpcc
2014-02-01;7;15.026499943435192;gpcc
2014-02-01;10;27.898541656633217;gpcc
2014-02-01;13;56.73962968808633;gpcc
2014-03-01;1;23.579687502235174;gpcc
2014-03-01;4;15.425652147699957;gpcc
2014-03-01;7;64.30924990177155;gpcc
2014-03-01;10;74.74624993403752;gpcc
2014-03-01;13;93.92666668362088;gpcc
2014-04-01;1;51.81312511861324;gpcc
2014-04-01;4;64.25208703175835;gpcc
2014-04-01;7;120.47449970245361;gpcc
2014-04-01;10;82.8402081715564;gpcc
2014-04-01;13;88.77222174185293;gpcc
2014-05-01;1;96.97218775749207;gpcc
2014-05-01;4;52.83800004046896;gpcc
2014-05-01;7;184.6162504196167;gpcc
2014-05-01;10;149.01291751861572;gpcc
2014-05-01;13;53.36148128686128;gpcc
